"videoViewCount","likesCount","commentsCount"
"745583","181036","674"
"1807176","300350","484"
"938715","165982","367"
"3510231","903447","3109"
"8578","2711","114"
"61829","16172","251"
"1612981","251577","1387"
"244805","48372","615"
"154364","35888","403"
"49363","10652","121"
"33464","8089","144"
"281096","11508","105"
"51482","12615","193"
"227443","49092","242"
"504929","165636","307"
"104436","20834","261"
"62916","16229","177"
"63310","3274","52"
"233051","63694","549"
"46691","9589","136"
"44073","11165","140"
"3657969","627753","1085"
"98953","7878","120"
"419609","111559","864"
"186672","28420","298"
"567433","213580","1319"
"58606","13075","201"
"129852","28531","688"
"224338","47799","1103"
"334419","61447","297"
"310576","58988","312"
"51102","9661","225"
"195210","37628","609"
"109386","25203","645"
"542040","62746","888"
"153226","31599","326"
"158026","34870","523"
"53689","9851","195"
"1383132","138198","3452"
"181649","37252","756"
"147794","44746","601"
"427954","108683","852"
"767921","217222","1094"
"241280","39672","3885"
"160989","7248","121"
"771463","29370","254"
"182963","34426","182"
"516165","102034","817"
"239752","42163","470"
"347120","63265","586"
